timesteps,mean_reward,success_rate,collision_rate,traffic_violation_rate,avg_speed,avg_episode_length
10000,-0.7924496836960315,0.0,1.0,1.0,3.500692969805379,35.0
20000,-4.8124603275209665,0.0,1.0,1.0,2.8089128552790017,21.0
30000,17.93669898295775,0.0,1.0,1.0,6.481534946281188,46.0
40000,7.042736043967307,0.0,1.0,1.0,5.22490798668147,37.0
50000,135.61738334186376,1.0,0.0,0.0,12.534130048437017,91.0
60000,54.16289627412334,0.0,1.0,1.0,9.48065990938311,68.0
70000,136.66337982192636,1.0,0.0,0.0,12.56529425253234,92.0
80000,136.46020546164362,1.0,0.0,0.0,12.482313864393134,93.0
90000,137.0258324052207,1.0,0.0,0.0,12.550533543202517,92.0
100000,135.59173117885365,1.0,0.0,0.0,12.161419620470767,94.0
