timesteps,mean_reward,success_rate,collision_rate,traffic_violation_rate,avg_speed,avg_episode_length
10000,13.533228471782058,0.0,1.0,1.0,5.843575482804974,47.0
20000,-0.568434052169323,0.0,1.0,1.0,4.5000843874870755,32.0
30000,52.04311202927492,0.0,1.0,1.0,9.662374359447124,69.0
40000,12.032326451968402,0.0,1.0,1.0,6.066708573190504,43.0
50000,5.956949917040765,0.0,1.0,1.0,5.364588384194013,38.0
60000,47.603357737278564,0.0,1.0,1.0,8.832436216087597,69.0
70000,51.754480119002984,0.0,1.0,1.0,9.261775272237388,71.0
80000,50.090845566196364,0.0,1.0,1.0,8.983973574998855,71.0
90000,50.279629942215976,0.0,1.0,1.0,9.289092093954181,68.0
100000,49.10028518652543,0.0,1.0,1.0,9.083666346126579,68.0
110000,49.30640439148992,0.0,1.0,1.0,9.065128652272584,69.0
120000,49.9299388459418,0.0,1.0,1.0,9.029469624513009,70.0
130000,48.51885300483555,0.0,1.0,1.0,8.932185207756765,69.0
140000,48.3677367254626,0.0,1.0,1.0,8.880123304297879,69.0
150000,76.84959663436749,0.0,1.0,1.0,9.806485737299228,92.0
