timesteps,mean_reward,success_rate,collision_rate,traffic_violation_rate,avg_speed,avg_episode_length
10000,8.169604691118002,0.0,1.0,1.0,5.129047729068477,59.0
20000,-1.528873817063868,0.0,1.0,1.0,5.365998115109168,38.0
30000,-10.604538431856781,0.0,1.0,1.0,3.373514492381132,28.0
40000,2.1707733988761904,0.0,1.0,1.0,5.222443335423102,44.0
50000,-6.049462602287531,0.0,1.0,1.0,4.7459885975768525,34.0
60000,59.03210821803659,0.0,1.0,0.0,9.908423554016988,80.0
70000,58.80188070405275,0.0,1.0,0.0,9.791994543974946,79.0
80000,40.8102814860642,0.0,1.0,0.0,9.039763916926082,65.0
90000,64.16546253170819,0.0,1.0,1.0,10.491799579688607,82.0
100000,44.10501260049641,0.0,1.0,0.0,9.205511683804115,68.0
110000,42.185426419973375,0.0,1.0,0.0,8.860241921741181,67.0
120000,70.69080529622734,0.0,1.0,0.0,10.861665732118905,82.0
130000,41.36519786659628,0.0,1.0,0.0,8.968500630624044,67.0
140000,41.68204799331725,0.0,1.0,0.0,8.909358973284085,66.0
150000,42.15339944045991,0.0,1.0,0.0,8.933943954025256,67.0
160000,42.262277816608545,0.0,1.0,0.0,8.950438824647538,67.0
170000,43.7978485642001,0.0,1.0,0.0,8.825621671625568,69.0
180000,40.987142299488184,0.0,1.0,0.0,8.915037249389307,67.0
190000,42.73122952952981,0.0,1.0,0.0,8.80497607007123,68.0
200000,43.31673496104777,0.0,1.0,0.0,8.919181212591592,68.0
