timesteps,mean_reward,success_rate,collision_rate,traffic_violation_rate,avg_speed,avg_episode_length
10000,136.46879935264587,1.0,0.0,0.0,8.906537726523746,128.0
20000,-7.643046978209168,0.0,1.0,1.0,1.427711225876762,52.0
30000,-8.686887224204838,0.0,1.0,1.0,1.4032066142504567,54.0
40000,-9.175694444216788,0.0,1.0,1.0,1.4285409663344133,56.0
50000,-9.186700912006199,0.0,1.0,1.0,1.429109498889186,56.0
60000,136.46879935264587,1.0,0.0,0.0,8.906537726523746,128.0
70000,136.46879935264587,1.0,0.0,0.0,8.906537726523746,128.0
80000,136.46879935264587,1.0,0.0,0.0,8.906537726523746,128.0
90000,136.46879935264587,1.0,0.0,0.0,8.906537726523746,128.0
100000,136.46879935264587,1.0,0.0,0.0,8.906537726523746,128.0
