timesteps,mean_reward,success_rate,collision_rate,traffic_violation_rate,avg_speed,avg_episode_length
10000,38.91022561909631,0.0,1.0,1.0,6.144751971419744,88.0
20000,38.91022561909631,0.0,1.0,1.0,6.144751971419744,88.0
30000,38.91022561909631,0.0,1.0,1.0,6.144751971419745,88.0
40000,38.91022561909631,0.0,1.0,1.0,6.144751971419744,88.0
50000,38.91022561909631,0.0,1.0,1.0,6.144751971419745,88.0
60000,38.91022561909631,0.0,1.0,1.0,6.144751971419744,88.0
70000,38.91022561909631,0.0,1.0,1.0,6.144751971419745,88.0
80000,38.91022561909631,0.0,1.0,1.0,6.144751971419745,88.0
90000,38.91022561909631,0.0,1.0,1.0,6.144751971419744,88.0
100000,38.91022561909631,0.0,1.0,1.0,6.144751971419743,88.0
110000,38.91022561909631,0.0,1.0,1.0,6.144751971419745,88.0
120000,38.91022561909631,0.0,1.0,1.0,6.144751971419745,88.0
130000,38.91022561909631,0.0,1.0,1.0,6.144751971419744,88.0
140000,38.91022561909631,0.0,1.0,1.0,6.144751971419744,88.0
150000,38.91022561909631,0.0,1.0,1.0,6.144751971419744,88.0
160000,38.91022561909631,0.0,1.0,1.0,6.144751971419745,88.0
170000,38.91022561909631,0.0,1.0,1.0,6.144751971419744,88.0
180000,38.91022561909631,0.0,1.0,1.0,6.144751971419746,88.0
190000,38.91022561909631,0.0,1.0,1.0,6.144751971419745,88.0
200000,38.91022561909631,0.0,1.0,1.0,6.144751971419744,88.0
